id,name,quantity,price,user_id
1,Paracetamol,100,5.99,1
2,Ibuprofen,200,7.50,1
3,Aspirin,150,4.25,1
4,Amoxicillin,80,12.75,1
5,Omeprazole,120,9.99,1
6,Lisinopril,90,15.50,1
7,Metformin,300,8.75,1
8,Atorvastatin,250,10.25,1
9,Simvastatin,180,11.00,1
10,Losartan,130,14.99,1
11,Levothyroxine,200,6.50,1
12,Albuterol,70,18.25,1
13,Metoprolol,160,7.99,1
14,Prednisone,140,5.75,1
15,Gabapentin,220,9.25,1
16,Hydrochlorothiazide,110,8.50,1
17,Citalopram,95,12.00,1
18,Sertraline,170,10.75,1
19,Tramadol,60,16.99,1
20,Diazepam,40,20.50,1
21,Clonazepam,75,18.75,1
22,Lorazepam,85,19.25,1
23,Azithromycin,200,13.50,1
24,Cephalexin,150,11.75,1
25,Doxycycline,180,10.00,1
26,Fluoxetine,130,9.50,1
27,Venlafaxine,120,14.25,1
28,Quetiapine,90,17.99,1
29,Olanzapine,70,19.75,1
30,Risperidone,80,16.50,1
31,Aripiprazole,60,18.00,1
32,Clozapine,50,22.50,1
33,Metronidazole,140,8.25,1
34,Ciprofloxacin,160,9.75,1
35,Levofloxacin,110,12.50,1
36,Amoxicillin-Clavulanate,100,15.00,1
37,Ceftriaxone,90,20.25,1
38,Vancomycin,70,25.50,1
39,Meropenem,60,30.00,1
40,Linezolid,50,35.75,1
41,Insulin Glargine,200,45.99,1
42,Insulin Lispro,180,42.50,1
43,Insulin Aspart,160,40.25,1
44,Warfarin,140,7.99,1
45,Rivaroxaban,120,22.75,1
46,Apixaban,100,25.00,1
47,Dabigatran,80,28.50,1
48,Clopidogrel,90,12.99,1
49,Ticagrelor,70,18.50,1
50,Prasugrel,60,20.75,1